ts,programs_count,reasoning_count,acting_count,paused_count
1789515833.4,0,0,0,0
1789515835.4,1,1,0,0
1789515837.5,17,17,0,0
1789515839.5,33,33,0,0
1789515841.5,49,49,0,6
1789515843.5,65,65,0,22
1789515845.6,80,80,0,37
1789515847.6,80,80,0,37
1789515849.6,80,80,0,37
1789515851.6,80,80,0,38
1789515853.6,80,80,0,38
1789515855.7,80,80,0,38
1789515857.7,80,80,0,38
1789515859.7,80,80,0,38
1789515861.7,80,80,0,39
1789515863.7,80,80,0,39
1789515865.8,80,80,0,39
1789515867.8,80,80,0,39
1789515869.8,80,80,0,39
1789515871.8,80,80,0,39
1789515873.8,80,80,0,39
1789515875.9,80,80,0,40
1789515877.9,80,80,0,40
1789515879.9,80,80,0,40
1789515881.9,80,80,0,40
1789515883.9,80,80,0,40
1789515886.0,80,80,0,40
1789515888.0,80,80,0,42
1789515890.0,80,80,0,42
1789515892.0,80,80,0,41
1789515894.1,80,80,0,42
1789515896.1,80,80,0,41
1789515898.1,80,79,1,43
1789515900.1,80,80,0,44
1789515902.1,80,80,0,42
1789515904.2,80,80,0,46
1789515906.2,80,80,0,42
1789515908.2,80,80,0,43
1789515910.2,80,80,0,44
1789515912.2,80,80,0,44
1789515914.3,80,80,0,45
1789515916.3,80,80,0,43
1789515918.3,80,80,0,44
1789515920.3,80,80,0,45
1789515922.4,80,80,0,45
1789515924.4,80,80,0,47
1789515926.4,80,80,0,44
1789515928.4,80,80,0,44
1789515930.4,80,79,1,44
1789515932.5,80,80,0,44
1789515934.5,80,80,0,45
1789515936.5,80,80,0,45
1789515938.5,80,80,0,47
1789515940.5,80,80,0,44
1789515942.6,80,80,0,44
1789515944.6,80,80,0,46
1789515946.6,80,80,0,44
1789515948.6,80,80,0,45
1789515950.6,80,80,0,44
1789515952.7,80,80,0,45
1789515954.7,80,79,1,46
1789515956.7,80,80,0,44
1789515958.7,80,80,0,44
1789515960.7,80,80,0,44
1789515962.8,80,80,0,44
1789515964.8,80,80,0,45
1789515966.8,80,80,0,45
1789515968.8,80,79,1,45
1789515970.9,80,79,1,44
1789515972.9,80,80,0,44
1789515974.9,80,80,0,44
1789515976.9,80,80,0,44
1789515978.9,80,80,0,44
1789515981.0,80,79,1,44
1789515983.0,80,80,0,44
1789515985.0,80,80,0,44
1789515987.0,80,79,1,44
1789515989.0,80,78,2,44
1789515991.1,80,78,2,44
1789515993.1,80,78,2,44
1789515995.1,80,77,3,44
1789515997.1,80,76,4,44
1789515999.2,80,67,13,44
1789516001.2,80,44,36,44
1789516003.2,80,44,36,44
1789516005.2,80,44,36,44
1789516007.2,80,44,36,44
1789516009.3,80,44,36,44
1789516011.3,80,44,36,44
1789516013.3,80,44,36,44
1789516015.3,80,44,36,44
1789516017.3,80,44,36,44
1789516019.4,80,44,36,44
1789516021.4,80,44,36,44
1789516023.4,80,44,36,44
1789516025.4,80,44,36,44
1789516027.5,80,44,36,44
1789516029.5,80,44,36,44
1789516031.5,80,44,36,44
1789516033.5,80,44,36,44
1789516035.5,80,44,36,44
1789516037.6,80,44,36,44
1789516039.6,80,44,36,44
1789516041.6,80,44,36,44
1789516043.6,80,44,36,44
1789516045.7,80,44,36,44
1789516047.7,80,44,36,44
1789516049.7,80,44,36,44
1789516051.7,80,44,36,44
1789516053.7,80,44,36,44
